Step (Just before step k),Manhattan Distance
1,7
2,6
3,5
4,5
5,5
6,5
7,5
8,5
9,5
10,5
11,5
12,5
13,5
14,5
15,5
16,5
17,5
18,5
19,5
20,5
21,5
22,5
23,5
24,5
25,5
26,5
27,5
28,6
29,6
30,5
31,5
32,4
33,3
34,3
35,3
36,3
37,3
38,3
39,3
40,3
41,3
42,3
43,3
44,3
45,3
46,3
47,3
48,3
49,3
50,3
51,3
52,3
53,3
54,3
55,3
56,3
57,2
58,3
59,3
60,3
61,3
62,3
63,3
64,3
65,3
66,3
67,3
68,3
69,3
70,3
71,3
72,3
73,3
74,3
75,3
76,3
77,3
78,3
79,3
80,3
81,3
82,3
83,2
84,3
85,2
86,3
87,2
88,3
89,2
90,3
91,2
92,3
93,2
94,3
95,2
96,3
97,2
98,3
99,2
100,3
101,2
102,3
103,2
104,3
105,2
106,3
107,2
108,1
109,0
